word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
kembali,0,0,0,0,0,0,0,0,0,0
sempoa,0,0,0,0,0,0,0,0,0,1
meninggalkan,0,0,0,1,0,1,0,1,0,0
ditinggalkan,1,0,0,1,0,1,0,1,0,0
pengabaian,1,0,0,1,0,1,0,1,1,0
mereda,0,0,0,0,0,0,0,0,0,0
pengurangan,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
kepala biara,0,0,0,0,0,0,0,0,0,1
menyingkat,0,0,0,0,0,0,0,0,0,0
singkatan,0,0,0,0,0,0,0,0,0,0
perut,0,0,0,0,0,0,0,0,0,0
perut,0,0,0,0,0,0,0,0,0,0
penculikan,0,0,0,1,0,1,0,1,1,0
menyimpang,0,0,0,0,0,1,0,0,0,0
penyimpangan,0,0,1,0,0,1,0,0,0,0
penundaan,0,0,0,0,0,0,0,0,0,0
benci,1,0,1,1,0,1,0,0,0,0
mengerikan,1,0,1,1,0,1,0,0,0,0
tinggal,0,0,0,0,0,0,0,0,0,0
kemampuan,0,0,0,0,0,0,1,0,0,0
hina,0,0,1,0,0,1,0,0,0,0
ablasi,0,0,0,0,0,0,0,0,0,0
terang benderang,0,0,0,0,0,0,0,0,0,0
abnormal,0,0,1,0,0,1,0,0,0,0
kapal,0,0,0,0,0,0,0,0,0,0
tempat tinggal,0,0,0,0,0,0,0,0,0,0
menghapuskan,1,0,0,0,0,1,0,0,0,0
penghapusan,0,0,0,0,0,1,0,0,0,0
mengerikan,0,0,1,1,0,1,0,0,0,0
kekejian,1,0,1,1,0,1,0,0,0,0
asli,0,0,0,0,0,0,0,0,0,0
menggugurkan,0,0,0,0,0,1,0,0,0,0
abortus,0,0,1,1,0,1,0,1,0,0
gagal,0,0,0,0,0,1,0,1,0,0
berlimpah,0,0,0,0,0,0,0,0,0,0
disebutkan di atas,0,0,0,0,0,0,1,0,0,0
abrasi,0,0,0,0,0,1,0,0,0,0
luar negeri,0,0,0,0,0,0,0,0,0,0
membatalkan,0,0,0,0,0,1,0,0,0,0
mendadak,0,0,0,0,0,0,0,0,1,0
tiba-tiba,0,0,0,0,0,0,0,0,0,0
abses,0,0,0,0,0,1,0,1,0,0
ketiadaan,0,0,0,1,0,1,0,1,0,0
absen,0,0,0,0,0,1,0,1,0,0
absen,0,0,0,0,0,1,0,1,0,0
ketidakhadiran,0,0,0,0,0,1,0,0,0,0
Absinth,0,0,0,0,0,0,0,0,0,0
mutlak,0,0,0,0,0,0,1,0,0,0
absolusi,0,0,0,0,1,0,1,0,0,1
terserap,0,0,0,0,0,0,1,0,0,0
zat penyerap,0,0,0,0,0,0,0,0,0,0
mengasyikkan,0,0,0,0,0,0,0,0,0,0
penyerapan,0,0,0,0,0,0,0,0,0,0
menjauhkan diri,0,0,0,0,0,0,0,0,0,0
abstensi,0,0,0,0,0,0,0,0,0,0
pantang,0,0,0,0,0,0,0,0,0,0
abstrak,0,0,0,0,0,0,0,0,0,0
abstraksi,0,0,0,0,0,0,0,0,0,0
absurd,0,0,0,0,0,1,0,0,0,0
kemustahilan,0,0,0,0,0,1,0,0,0,0
kelimpahan,0,1,1,0,1,1,1,0,0,1
melimpah,0,0,0,0,1,0,1,0,0,0
melecehkan,1,0,1,1,0,1,0,1,0,0
penyangga,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
bukan kepalang,0,0,0,0,0,1,0,1,0,0
neraka,0,0,0,1,0,1,0,1,0,0
akademik,0,0,0,0,0,0,1,0,0,1
akademi,0,0,0,0,0,0,1,0,0,0
menyetujui,0,0,0,0,0,0,0,0,0,0
mempercepat,0,1,0,0,0,0,0,0,0,0
percepatan,0,0,0,0,0,0,0,0,0,0
aksen,0,0,0,0,0,0,0,0,0,0
menonjolkan,0,0,0,0,0,0,0,0,0,0
menerima,0,0,0,0,0,0,0,0,0,0
dapat diterima,0,0,0,0,0,0,1,0,0,0
penerimaan,0,0,0,0,0,0,1,0,0,0
mengakses,0,0,0,0,0,0,0,0,0,0
dapat diakses,0,0,0,0,0,0,1,0,0,0
pencapaian,0,0,0,0,0,0,0,0,0,0
tambahan,0,0,0,0,0,0,0,0,0,0
kecelakaan,0,0,0,1,0,1,0,1,1,0
kebetulan,0,0,0,1,0,1,0,0,1,0
secara tidak sengaja,0,0,0,0,0,0,0,0,1,0
penghargaan,0,1,0,0,1,0,1,0,1,1
menampung,0,0,0,0,0,0,0,0,0,0
akomodasi,0,0,0,0,0,0,1,0,0,0
iringan,0,1,0,0,1,0,1,0,0,1
menemani,0,0,0,0,0,0,0,0,0,0
menemani,0,0,0,0,0,0,0,0,0,0
kaki tangan,0,0,0,0,0,0,0,0,0,0
menyelesaikan,0,0,0,0,1,0,1,0,0,0
ahli,0,0,0,0,1,0,1,0,0,0
prestasi,0,0,0,0,0,0,1,0,0,0
sesuai,0,0,0,0,0,0,1,0,0,1
sesuai,0,0,0,0,0,0,0,0,0,0
akordeon,0,0,0,0,0,0,0,0,0,0
Akun,0,0,0,0,0,0,0,0,0,1
pertanggungjawaban,0,0,0,0,0,0,1,0,0,1
akuntabel,0,0,0,0,0,0,1,0,0,1
akuntan,0,0,0,0,0,0,0,0,0,1
akuntansi,0,0,0,0,0,0,0,0,0,0
akun,0,0,0,0,0,0,0,0,0,1
terakreditasi,0,0,0,0,0,0,1,0,0,1
pertambahan,0,0,0,0,0,0,0,0,0,0
bertambah,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
mengumpulkan,0,0,0,0,0,0,0,0,0,0
akumulasi,0,0,0,0,0,0,0,0,0,0
ketepatan,0,0,0,0,0,0,0,0,0,0
tepat,0,0,0,0,0,0,1,0,0,1
terkutuk,1,0,0,1,0,1,0,1,0,0
tuduhan,1,0,1,0,0,1,0,0,0,0
akusatif,0,0,0,0,0,1,0,0,0,0
dituduh,1,0,0,1,0,1,0,0,0,0
penuduh,1,0,0,1,0,1,0,0,0,0
menuduh,1,0,0,1,0,1,0,0,0,0
biasa,0,0,0,0,0,0,0,0,0,0
kartu as,0,0,0,0,0,0,1,0,0,0
asetat,0,0,0,0,0,0,0,0,0,0
sakit,0,0,0,0,0,1,0,1,0,0
meraih,0,0,0,0,1,0,1,0,0,1
pencapaian,0,1,0,0,1,0,1,0,0,1
sakit,0,0,0,0,0,1,0,1,0,0
asam,0,0,0,0,0,1,0,0,0,0
keasaman,0,0,0,0,0,0,0,0,0,0
mengakui,0,0,0,0,0,0,0,0,0,0
diakui,0,0,0,0,0,0,0,0,0,0
pengakuan,0,0,0,0,0,0,1,0,0,0
puncak,0,0,0,0,0,0,0,0,0,0
akustik,0,0,0,0,0,0,0,0,0,0
akustik,0,0,0,0,0,0,0,0,0,0
memperkenalkan,0,0,0,0,0,0,0,0,0,0
kenalan,0,0,0,0,0,0,0,0,0,0
berkenalan,0,0,0,0,0,0,0,0,0,0
persetujuan,0,0,0,0,0,0,0,0,0,0
mendapatkan,0,0,0,0,0,0,1,0,0,0
memperoleh,0,1,0,0,0,0,1,0,0,0
Akuisisi,0,0,0,0,0,0,0,0,0,0
akuisisi,0,0,0,0,0,0,0,0,0,0
areal,0,0,0,0,0,0,0,0,0,0
hektar,0,0,0,0,0,0,0,0,0,0
akrobat,0,0,0,1,1,0,1,0,0,1
bertindak,0,0,0,0,0,0,0,0,0,0
akting,0,0,0,0,0,0,0,0,0,0
tindakan,0,0,0,0,0,0,1,0,0,0
dapat ditindaklanjuti,1,0,1,0,0,1,0,0,0,0
aktif,0,0,0,0,0,0,0,0,0,0
aktivitas,0,0,0,0,0,0,0,0,0,0
aktor,0,0,0,0,0,0,0,0,0,0
